path,type,status,purpose_short,current_mainline_related,module,inputs,outputs,called_by,calls,safe_to_modify,safe_to_delete,sensitive,evidence_summary,confidence,notes
artifacts/semantic_registry_v2/freeze_manifest.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,semantic registry / palette,,,,,"yes, if you understand the module",ask first,False,Contains `metadata`.,high,
artifacts/semantic_registry_v2/loreflection_extension_taxonomy.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,semantic registry / palette,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
artifacts/semantic_registry_v2/palette_frozen.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,semantic registry / palette,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
artifacts/semantic_registry_v2/raw_to_training_mapping.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,semantic registry / palette,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
artifacts/semantic_registry_v2/room_specific_to_unified_mapping.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,semantic registry / palette,,,,,"yes, if you understand the module",ask first,False,Contains `metadata`.,high,
artifacts/semantic_registry_v2/semantic_footprint_v1.yaml,YAML config,config,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",False,semantic registry / palette,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
artifacts/semantic_registry_v2/semantic_target_registry.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,semantic registry / palette,,,,,"yes, if you understand the module",ask first,False,Contains `metadata`.,high,
artifacts/semantic_registry_v2/semlayoutdiff_core_taxonomy.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,semantic registry / palette,,,,,"yes, if you understand the module",ask first,False,Contains `metadata`.,high,
artifacts/semantic_registry_v2/SHA256SUMS,checksum manifest,config,Purpose not confidently identified from content; needs review.,False,semantic registry / palette,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,NEEDS_REVIEW: purpose not fully confirmed.
artifacts/semantic_registry_v2/training_categories.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,semantic registry / palette,,,,,"yes, if you understand the module",ask first,False,Contains `metadata`.,high,
Benchmark .pdf,document/PDF artifact,needs_review,Purpose not confidently identified from content; needs review.,False,root / miscellaneous,,,,,ask first,ask first,False,Document/PDF artifact; binary content not extracted for this structure guide.,medium,NEEDS_REVIEW: purpose not fully confirmed.
_archive/deprecated_20260622/configs/architecture_condition_registry_v1.yaml,YAML config,config,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
_archive/deprecated_20260622/configs/c13_semantic_repair4_overfit/add.yaml,YAML config,current,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",True,C13 training config,blockwise_controlnet_image; blockwise_controlnet_inpaint_mask,outputs/; outputs/; output_path; outputs/,_archive/deprecated_20260622/reports/project_structure_files_depth3.txt,,"yes, if you understand the module",no,False,Contains `execution_mode`. | Contains `semantic_repair`. | Contains `DiffSynth`. | Contains `metadata`. | Contains `blockwise_controlnet_image`. | Contains `blockwise_controlnet_inpaint_mask`.,high,
_archive/deprecated_20260622/configs/c13_semantic_repair4_overfit/mixed.yaml,YAML config,current,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",True,C13 training config,blockwise_controlnet_image; blockwise_controlnet_inpaint_mask,outputs/; outputs/; output_path; outputs/,_archive/deprecated_20260622/reports/project_structure_files_depth3.txt,,"yes, if you understand the module",no,False,Contains `execution_mode`. | Contains `semantic_repair`. | Contains `DiffSynth`. | Contains `metadata`. | Contains `blockwise_controlnet_image`. | Contains `blockwise_controlnet_inpaint_mask`.,high,
_archive/deprecated_20260622/configs/c13_semantic_repair4_overfit/remove.yaml,YAML config,current,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",True,C13 training config,blockwise_controlnet_image; blockwise_controlnet_inpaint_mask,outputs/; outputs/; output_path; outputs/,_archive/deprecated_20260622/reports/project_structure_files_depth3.txt,,"yes, if you understand the module",no,False,Contains `execution_mode`. | Contains `semantic_repair`. | Contains `DiffSynth`. | Contains `metadata`. | Contains `blockwise_controlnet_image`. | Contains `blockwise_controlnet_inpaint_mask`.,high,
_archive/deprecated_20260622/configs/c13_semantic_repair4_overfit/replace.yaml,YAML config,current,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",True,C13 training config,blockwise_controlnet_image; blockwise_controlnet_inpaint_mask,outputs/; outputs/; output_path; outputs/,_archive/deprecated_20260622/reports/project_structure_files_depth3.txt,,"yes, if you understand the module",no,False,Contains `execution_mode`. | Contains `semantic_repair`. | Contains `DiffSynth`. | Contains `metadata`. | Contains `blockwise_controlnet_image`. | Contains `blockwise_controlnet_inpaint_mask`.,high,
_archive/deprecated_20260622/configs/c13_semantic_repair4_overfit/translate.yaml,YAML config,current,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",True,C13 training config,blockwise_controlnet_image; blockwise_controlnet_inpaint_mask,outputs/; outputs/; output_path; outputs/,_archive/deprecated_20260622/reports/project_structure_files_depth3.txt,,"yes, if you understand the module",no,False,Contains `execution_mode`. | Contains `semantic_repair`. | Contains `DiffSynth`. | Contains `metadata`. | Contains `blockwise_controlnet_image`. | Contains `blockwise_controlnet_inpaint_mask`.,high,
_archive/deprecated_20260622/configs/category_mapping_3dfuture_to_palette_v1.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Contains `schema_version`. | Contains `metadata`.,high,
_archive/deprecated_20260622/configs/category_mapping_v2_candidate.yaml,YAML config,config,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Contains `metadata`.,high,
_archive/deprecated_20260622/configs/category_registry_v1.yaml,YAML config,config,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Contains `schema_version`.,high,
_archive/deprecated_20260622/configs/category_registry_v2_candidate.yaml,YAML config,config,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
_archive/deprecated_20260622/configs/editroom_to_semantic_layout_v1.yaml,YAML config,config,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
_archive/deprecated_20260622/configs/evaluation_category_groups_v1.yaml,YAML config,config,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
_archive/deprecated_20260622/configs/observer_instance_extraction_v1.yaml,YAML config,config,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
_archive/deprecated_20260622/configs/palette_semlayoutdiff_native.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
_archive/deprecated_20260622/configs/palette_v1.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Contains `schema_version`.,high,
_archive/deprecated_20260622/configs/palette_v2_qwenimage_candidate.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
_archive/deprecated_20260622/configs/prompt_templates_v1.yaml,YAML config,config,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Contains `schema_version`.,high,
_archive/deprecated_20260622/configs/repair_output_sanitizer_current.yaml,YAML config,config,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Contains `schema_version`. | Contains `semantic_repair`. | Contains `metadata`.,high,
_archive/deprecated_20260622/configs/semantic_footprint_v1.yaml,YAML config,config,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
_archive/deprecated_20260622/configs/semantic_target_registry_v2_candidate.yaml,YAML config,config,"YAML configuration for registry, rendering, sanitizer, converter, or training settings.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Contains `metadata`.,high,
_archive/deprecated_20260622/configs/visual_audit_semlayoutdiff_grounded_v1.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,configuration,,reports/; reports/,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
_archive/deprecated_20260622/configs/visual_audit_style_v1.json,JSON,config,"Structured data, manifest, example, configuration, or report artifact.",False,configuration,,,,,"yes, if you understand the module",ask first,False,Readable text; no strong structural markers in first scan.,high,
data_pipeline/build_arch_json.py,Python,script,Python builder/generator script.,False,data pipeline scripts,,--output; write_text,,__future__; argparse; json; pathlib,"yes, if you understand the module",ask first,False,"Heading/comment: #!/usr/bin/env python | Definitions: build_architecture, main | Contains argparse CLI entrypoint. | Contains script main guard. | Contains `schema_version`.",high,
data_pipeline/build_controlnet_repair_pairs.py,Python,script,Python builder/generator script.,False,data pipeline scripts,,--output; write_text,,__future__; argparse; json; pathlib,"yes, if you understand the module",ask first,False,"Heading/comment: #!/usr/bin/env python | Definitions: load_json, main | Contains argparse CLI entrypoint. | Contains script main guard. | Contains `schema_version`. | Contains `DiffSynth`. | Contains `control_mask`. | Contains `RepairPlan`.",high,
data_pipeline/build_goal_lostate.py,Python,script,Python builder/generator script.,False,data pipeline scripts,,--output; write_text,,__future__; argparse; json; pathlib,"yes, if you understand the module",ask first,False,"Heading/comment: #!/usr/bin/env python | Definitions: load_json, build_goal, main | Contains argparse CLI entrypoint. | Contains script main guard. | Contains `schema_version`. | Contains `metadata`. | Contains `LoState`.",high,
data_pipeline/build_loreview.py,Python,script,Python builder/generator script.,False,data pipeline scripts,,--output; write_text,,__future__; argparse; json; pathlib; runtime.loram; runtime.track_a_geometry_review; runtime.track_b_semantic_review; sys,"yes, if you understand the module",ask first,False,"Heading/comment: #!/usr/bin/env python | Definitions: load_json, build_review, main | Contains argparse CLI entrypoint. | Contains script main guard. | Contains `schema_version`. | Contains `metadata`. | Contains `LoReview`. | Contains `LoState`.",high,
data_pipeline/build_observed_lostate.py,Python,script,Python builder/generator script.,False,data pipeline scripts,,--output; write_text,,__future__; argparse; json; pathlib; runtime.observer; sys,"yes, if you understand the module",ask first,False,"Heading/comment: #!/usr/bin/env python | Definitions: load_json, main | Contains argparse CLI entrypoint. | Contains script main guard. | Contains `LoState`.",high,
data_pipeline/build_planner_sft_data.py,Python,script,Python builder/generator script.,False,data pipeline scripts,,--output; write_text,,__future__; argparse; json; pathlib,"yes, if you understand the module",ask first,False,Heading/comment: #!/usr/bin/env python | Definitions: main | Contains argparse CLI entrypoint. | Contains script main guard. | Contains `schema_version`. | Contains `RepairPlan`. | Contains `LoReview`. | Contains `LoState`.,high,
data_pipeline/build_prompt_package.py,Python,script,Python builder/generator script.,False,data pipeline scripts,,--output; write_text,,__future__; argparse; json; pathlib; runtime.prompt_builder; sys,"yes, if you understand the module",ask first,False,"Heading/comment: #!/usr/bin/env python | Definitions: load_json, main | Contains argparse CLI entrypoint. | Contains script main guard. | Contains `LoState`.",high,
data_pipeline/generate_perturbations.py,Python,script,Python module or utility script.,False,data pipeline scripts,--input; --manifest; image =,--output; write_text,,PIL; __future__; argparse; json; pathlib,"yes, if you understand the module",ask first,False,Heading/comment: #!/usr/bin/env python | Definitions: main | Contains argparse CLI entrypoint. | Contains script main guard. | Contains `schema_version`.,high,
data_pipeline/render_arch_condition.py,Python,script,Python module or utility script.,False,data pipeline scripts,image =,--output,,PIL; __future__; argparse; json; pathlib,"yes, if you understand the module",ask first,False,"Heading/comment: #!/usr/bin/env python | Definitions: load_json, make_transform, render, main | Contains argparse CLI entrypoint. | Contains script main guard.",high,
data_pipeline/render_gt_semantic_layout.py,Python,script,Python module or utility script.,False,data pipeline scripts,image =,--output,,PIL; __future__; argparse; json; pathlib,"yes, if you understand the module",ask first,False,"Heading/comment: #!/usr/bin/env python | Definitions: load_json, render, main | Contains argparse CLI entrypoint. | Contains script main guard. | Contains `LoState`.",high,
diffusion/infer_diffsynth_qwen_inpaint.py,Python,script,Python module or utility script.,False,DiffSynth/Qwen helpers,,--output,,__future__; argparse; pathlib; shutil,"yes, if you understand the module",ask first,False,Heading/comment: #!/usr/bin/env python | Definitions: main | Contains argparse CLI entrypoint. | Contains script main guard. | Contains `DiffSynth`.,high,
diffusion/infer_instantx_qwen_inpaint.py,Python,script,Python module or utility script.,False,DiffSynth/Qwen helpers,,--output,,__future__; argparse; pathlib; shutil,"yes, if you understand the module",ask first,False,Heading/comment: #!/usr/bin/env python | Definitions: main | Contains argparse CLI entrypoint. | Contains script main guard.,high,
diffusion/train_diffsynth_qwen_inpaint_lora.sh,shell script,script,Purpose not confidently identified from content; needs review.,False,DiffSynth/Qwen helpers,--dataset; --metadata,outputs/; metadata.csv; --output,,,"yes, if you understand the module",ask first,False,Heading/comment: #!/usr/bin/env bash | Contains `DiffSynth`. | Contains `metadata`.,high,NEEDS_REVIEW: purpose not fully confirmed.
docs/ACTIVE_38CLASS_CATEGORY_TABLE.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Active 38-Class Category Table | Contains `metadata`.,high,
docs/ACTIVE_REGISTRY_CODE_INVENTORY.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Active Registry Code Inventory,high,
docs/ACTIVE_REGISTRY_PROVENANCE_AUDIT.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Active Registry Provenance Audit,high,
docs/BLOCKWISE_INPAINT_LORA_INTERFACE.md,Markdown,doc,Project documentation or runbook.,False,documentation,blockwise_controlnet_image; blockwise_controlnet_inpaint_mask; blockwise_controlnet_image; blockwise_controlnet_inpaint_mask,reports/; reports/,,,"yes, if you understand the module",ask first,False,Heading/comment: # Blockwise Inpaint LoRA Interface | Contains `DiffSynth`. | Contains `metadata`. | Contains `blockwise_controlnet_image`. | Contains `blockwise_controlnet_inpaint_mask`.,high,
docs/C11_10_EDITROOM_PAIR_CONTRACT.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # C11.10 EditRoom Pair Contract,high,
docs/C11_10_SEMLAYOUTDIFF_RENDERING_CONTRACT.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # C11.10 SemLayoutDiff Rendering Contract | Contains `DiffSynth`.,high,
docs/C12_REPAIR_OUTPUT_SANITIZER.md,Markdown,current,Project documentation or runbook.,True,documentation,,reports/; reports/; reports/; reports/; outputs/,PROGRESS.md; _archive/deprecated_20260622/reports/project_structure_files_depth3.txt,,"yes, if you understand the module",no,False,Heading/comment: # C12 Repair Output Sanitizer | Contains `semantic_repair`. | Contains `parametric_update`. | Contains `DiffSynth`.,high,
docs/C12_SANITIZER_CURRENT_PLAN.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # C12 Sanitizer Current Plan | Contains `semantic_repair`. | Contains `parametric_update`. | Contains `DiffSynth`. | Contains `metadata`.,high,
docs/C13_SEMANTIC_REPAIR4_OVERFIT.md,Markdown,current,Project documentation or runbook.,True,documentation,,outputs/; outputs/; reports/; reports/; reports/; reports/,PROGRESS.md; README.md; _archive/deprecated_20260622/reports/project_structure_files_depth3.txt,,"yes, if you understand the module",no,False,Heading/comment: # C13 Semantic Repair4 Overfit | Contains `semantic_repair`. | Contains `parametric_update`. | Contains `DiffSynth`. | Contains `metadata`.,high,
docs/CATEGORY_ACTION_TAXONOMY.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Category Action Taxonomy | Contains `metadata`. | Contains `LoState`.,high,
docs/CURRENT_PROJECT_STATE.md,Markdown,current,Source-of-truth document for the current LoReflection repair protocol and execution routing.,True,documentation,image =; blockwise_controlnet_image; blockwise_controlnet_inpaint_mask,,_archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/PACKAGE_MANIFEST.json; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/PROGRESS.md; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/README.md; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/reports/c11_11_repository_cleanup_report.json; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package/SHA256SUMS; _archive/deprecated_20260622/outputs/manual_review/current_repair_protocol_review_package_named_only/reports/c11_11_repository_cleanup_report.json; PROGRESS.md; README.md,,"yes, if you understand the module",no,False,Heading/comment: # Current Project State | Contains `mask_spec`. | Contains `semantic_repair`. | Contains `parametric_update`. | Contains `DiffSynth`. | Contains `metadata`. | Contains `control_mask`. | Contains `blockwise_controlnet_image`.,high,
docs/DATA_PROVENANCE_POLICY.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Data Provenance Policy,high,
docs/DATA_SOURCE_DECISION.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Data Source Decision,high,
docs/EDITROOM_TO_SEMANTIC_LAYOUT_CONVERSION_POLICY.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # EditRoom to SemLayoutDiff-Style Semantic Layout Conversion Policy | Contains `semantic_repair`. | Contains `parametric_update`. | Contains `DiffSynth`. | Contains `metadata`.,high,
docs/EXPERIMENT_LOG_SEMANTIC_REPAIR4.md,Markdown,current,Project documentation or runbook.,True,documentation,blockwise_controlnet_image; blockwise_controlnet_inpaint_mask,outputs/; outputs/; outputs/; outputs/; outputs/; outputs/,PROGRESS.md; _archive/deprecated_20260622/reports/project_structure_files_depth3.txt,,"yes, if you understand the module",no,False,Heading/comment: # Experiment Log Semantic Repair4 | Contains `semantic_repair`. | Contains `parametric_update`. | Contains `DiffSynth`. | Contains `metadata`. | Contains `blockwise_controlnet_image`. | Contains `blockwise_controlnet_inpaint_mask`.,high,
docs/NATIVE_3DFRONT_PREPROCESSING_PIPELINE.md,Markdown,doc,Project documentation or runbook.,False,documentation,,reports/,,,"yes, if you understand the module",ask first,False,Heading/comment: # Native 3D-FRONT Preprocessing Pipeline | Contains `metadata`. | Contains `LoState`.,high,
docs/OFFICIAL_SEMLAYOUTDIFF_SOURCE_VERIFICATION.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Official SemLayoutDiff Source Verification | Contains `metadata`. | Contains `LoState`.,high,
docs/ORDINARY_QWEN_IMAGE_LORA_INTERFACE.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Ordinary Qwen-Image LoRA Interface | Contains `DiffSynth`. | Contains `metadata`.,high,
docs/PALETTE_ALIAS_AND_3DFRONT_PARSER_AUDIT.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Palette Alias And 3D-FRONT Parser Audit | Contains `metadata`.,high,
docs/PALETTE_RELIABILITY_EXPLANATION_V2.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Palette Reliability Explanation V2,high,
docs/PALETTE_ROUNDTRIP_MULTICLASS_AUDIT.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Palette Round-Trip Multiclass Audit,high,
docs/PAZHOU_SERVER_RUNBOOK.md,Markdown,doc,Project documentation or runbook.,False,documentation,--env-file; --env-file,--report; reports/; --output; reports/,,,"yes, if you understand the module",ask first,False,Heading/comment: # Pazhou Server Runbook,high,
docs/QWEN_GENERATION_VS_INPAINT_ROUTE_DECISION.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Qwen Generation vs Inpaint Route Decision | Contains `DiffSynth`. | Contains `control_mask`. | Contains `LoState`.,high,
docs/QWEN_INITIAL_GENERATION_ROUTE_RECOMMENDATION.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Qwen Initial Generation Route Recommendation,high,
docs/RAW_TO_TRAINING_CATEGORY_MAPPING_FULL.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Raw To Training Category Mapping Full,high,
docs/REAL_VAL50_CONVERTER_PLAN.md,Markdown,doc,Project documentation or runbook.,False,documentation,--env-file,outputs/; reports/; outputs/; outputs/; outputs/; outputs/,,,"yes, if you understand the module",ask first,False,Heading/comment: # Real Val50 Converter Prototype Plan | Contains `DiffSynth`. | Contains `LoState`.,high,
docs/REFERENCE_PIPELINE_MINING.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Reference Pipeline Mining | Contains `metadata`.,high,
docs/SEMANTIC_FOOTPRINT_V1.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # Semantic Footprint V1,high,
docs/SEMLAYOUTDIFF_ADAPTER.md,Markdown,doc,Project documentation or runbook.,False,documentation,--input,--report; --output; outputs/; outputs/,,,"yes, if you understand the module",ask first,False,Heading/comment: # SemLayoutDiff Adapter | Contains `metadata`. | Contains `RepairPlan`. | Contains `LoReview`. | Contains `LoState`.,high,
docs/SEMLAYOUTDIFF_LABEL_POLICY_ALIGNMENT.md,Markdown,doc,Project documentation or runbook.,False,documentation,,,,,"yes, if you understand the module",ask first,False,Heading/comment: # SemLayoutDiff Label Policy Alignment | Contains `metadata`. | Contains `LoState`.,high,
