path,line,wrong_statement_or_reference,action
reports/reference_3dfront_pipeline_mining_report.json,908,"""text"": ""OUTPUT_DIR=\""${OUTPUT_DIR:-datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1}\""""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,932,"""text"": ""OUTPUT_DIR=\""${OUTPUT_DIR:-datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v2}\""""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,2076,"""text"": ""- GT semantic layout npy from parse_json_floorplan.py""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,2539,"""text"": ""\""required scale fields. Regenerate the dataset with the updated parse_json_floorplan.py.\""""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,4689,"""file"": ""preprocess/scripts/parse_json_floorplan.py"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,4884,"""text"": ""LEGACY_TO_COMPACT_CATEGORY: Dict[int, int] = {""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,4961,"""text"": ""return LEGACY_TO_COMPACT_CATEGORY.get(special_cat, VOID_ID)""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,4968,"""text"": ""return LEGACY_TO_COMPACT_CATEGORY.get(light_cat, VOID_ID)""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,4975,"""text"": ""return LEGACY_TO_COMPACT_CATEGORY.get(cat_id, VOID_ID)""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,5001,"""file"": ""scripts/analyze_planjson_category_sizes.py"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,5062,"""text"": ""pipeline: are some semantic classes in parse_json_floorplan.py too broad for""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,5069,"""text"": ""parse_json_floorplan category rules, and writes:""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,5097,"""text"": ""default=str((REPO_ROOT / \""analysis\"" / \""planjson_category_audit\"").resolve()),""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,6598,"""text"": ""- GT semantic layout npy from parse_json_floorplan.py""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,6876,"""text"": ""\""required scale fields. Regenerate the dataset with the updated parse_json_floorplan.py.\""""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8443,"""file"": ""configs/apm/chinese_attr_only_planjson.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8491,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_paper_offsetfix_0228_0317_v1.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8527,"""text"": ""new_label_to_generic_label_path: preprocess/metadata/apm_planjson_apm_paper_offsetfix_0228_0317_v1/chinese_idx_to_generic_label.json""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8539,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_paper_offsetfix_0228_0317_v2.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8582,"""text"": ""new_label_to_generic_label_path: preprocess/metadata/apm_planjson_apm_paper_offsetfix_0228_0317_v2/chinese_idx_to_generic_label.json""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8594,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_paper_offsetfix_0228_0317_v3.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8686,"""text"": ""new_label_to_generic_label_path: preprocess/metadata/apm_planjson_apm_paper_offsetfix_0228_0317_v3/chinese_idx_to_generic_label.json""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8698,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_paper_offsetfix_v1.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8734,"""text"": ""new_label_to_generic_label_path: preprocess/metadata/apm_planjson_apm_paper_offsetfix_v1/chinese_idx_to_generic_label.json""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8746,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_paper_offsetfix_v1_continue400.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8782,"""text"": ""new_label_to_generic_label_path: preprocess/metadata/apm_planjson_apm_paper_offsetfix_v1/chinese_idx_to_generic_label.json""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8794,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_paper_offsetfix_v1_finetune_lr1e5.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8830,"""text"": ""new_label_to_generic_label_path: preprocess/metadata/apm_planjson_apm_paper_offsetfix_v1/chinese_idx_to_generic_label.json""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8842,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_paper_v1.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8878,"""text"": ""new_label_to_generic_label_path: preprocess/metadata/apm_planjson_apm_paper_v1/chinese_idx_to_generic_label.json""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8890,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_stage1_roty_0228_0317_0327_v1.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8906,"""text"": ""train_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1/train""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8913,"""text"": ""val_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1/val""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8920,"""text"": ""test_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1/test""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8927,"""text"": ""project: chinese_attr_pred_planjson_apm_stage1_roty_0228_0317_0327_v1""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,8934,"""text"": ""name: chinese_attr_only_planjson_apm_stage1_roty_0228_0317_0327_v1""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9018,"""text"": ""checkpoint_dir: checkpoints/apm_attr_only_planjson_stage1_roty_0228_0317_0327_v1""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9025,"""text"": ""eval_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1/test""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9045,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_stage1_roty_orient0327_v1.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9061,"""text"": ""train_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1/train""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9068,"""text"": ""val_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1/val""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9075,"""text"": ""test_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1/test""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9082,"""text"": ""project: chinese_attr_pred_planjson_apm_stage1_roty_orient0327_v1""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9089,"""text"": ""name: chinese_attr_only_planjson_apm_stage1_roty_orient0327_v1""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9173,"""text"": ""checkpoint_dir: checkpoints/apm_attr_only_planjson_stage1_roty_orient0327_v1""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9180,"""text"": ""eval_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1/test""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9200,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_stage1_roty_orient0327_v1_continue400.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9216,"""text"": ""train_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1/train""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9223,"""text"": ""val_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1/val""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9230,"""text"": ""test_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1/test""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9237,"""text"": ""project: chinese_attr_pred_planjson_apm_stage1_roty_orient0327_v1_continue400""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9244,"""text"": ""name: chinese_attr_only_planjson_apm_stage1_roty_orient0327_v1_continue400""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9328,"""text"": ""checkpoint_path: checkpoints/apm_attr_only_planjson_stage1_roty_orient0327_v1/last.ckpt""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9335,"""text"": ""checkpoint_dir: checkpoints/apm_attr_only_planjson_stage1_roty_orient0327_v1_continue400""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9342,"""text"": ""eval_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1/test""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9355,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_stage1_roty_orient0327_v2.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9371,"""text"": ""train_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v2/train""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9378,"""text"": ""val_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v2/val""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9385,"""text"": ""test_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v2/test""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9392,"""text"": ""project: chinese_attr_pred_planjson_apm_stage1_roty_orient0327_v2""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9399,"""text"": ""name: chinese_attr_only_planjson_apm_stage1_roty_orient0327_v2""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9497,"""text"": ""checkpoint_dir: checkpoints/apm_attr_only_planjson_stage1_roty_orient0327_v2""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9504,"""text"": ""eval_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v2/test""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9509,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_stage1_roty_orient0327_v2_continue400.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9525,"""text"": ""train_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v2/train""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9532,"""text"": ""val_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v2/val""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9539,"""text"": ""test_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v2/test""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9546,"""text"": ""project: chinese_attr_pred_planjson_apm_stage1_roty_orient0327_v2_continue400""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9553,"""text"": ""name: chinese_attr_only_planjson_apm_stage1_roty_orient0327_v2_continue400""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9651,"""text"": ""checkpoint_path: checkpoints/apm_attr_only_planjson_stage1_roty_orient0327_v2/val-loss-epoch=33-val_total_loss=0.6600-val_orient_acc=0.7884.ckpt""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9658,"""text"": ""checkpoint_dir: checkpoints/apm_attr_only_planjson_stage1_roty_orient0327_v2_continue400""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9663,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_stage2_orient0327_v1.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9770,"""text"": ""checkpoint_path: checkpoints/apm_attr_only_planjson_stage1_roty_orient0327_v2/best_val.ckpt""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,9789,"""file"": ""configs/apm/chinese_attr_only_planjson_paper.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10040,"""file"": ""configs/apm/chinese_attr_only_planjson.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10088,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_paper_offsetfix_0228_0317_v1.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10124,"""text"": ""new_label_to_generic_label_path: preprocess/metadata/apm_planjson_apm_paper_offsetfix_0228_0317_v1/chinese_idx_to_generic_label.json""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10136,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_paper_offsetfix_0228_0317_v2.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10179,"""text"": ""new_label_to_generic_label_path: preprocess/metadata/apm_planjson_apm_paper_offsetfix_0228_0317_v2/chinese_idx_to_generic_label.json""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10191,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_paper_offsetfix_0228_0317_v3.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10283,"""text"": ""new_label_to_generic_label_path: preprocess/metadata/apm_planjson_apm_paper_offsetfix_0228_0317_v3/chinese_idx_to_generic_label.json""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10295,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_paper_offsetfix_v1.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10331,"""text"": ""new_label_to_generic_label_path: preprocess/metadata/apm_planjson_apm_paper_offsetfix_v1/chinese_idx_to_generic_label.json""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10343,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_paper_offsetfix_v1_continue400.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10379,"""text"": ""new_label_to_generic_label_path: preprocess/metadata/apm_planjson_apm_paper_offsetfix_v1/chinese_idx_to_generic_label.json""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10391,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_paper_offsetfix_v1_finetune_lr1e5.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10427,"""text"": ""new_label_to_generic_label_path: preprocess/metadata/apm_planjson_apm_paper_offsetfix_v1/chinese_idx_to_generic_label.json""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10439,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_paper_v1.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10475,"""text"": ""new_label_to_generic_label_path: preprocess/metadata/apm_planjson_apm_paper_v1/chinese_idx_to_generic_label.json""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10487,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_stage1_roty_0228_0317_0327_v1.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10503,"""text"": ""train_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1/train""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10510,"""text"": ""val_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1/val""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10517,"""text"": ""test_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1/test""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10524,"""text"": ""project: chinese_attr_pred_planjson_apm_stage1_roty_0228_0317_0327_v1""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10531,"""text"": ""name: chinese_attr_only_planjson_apm_stage1_roty_0228_0317_0327_v1""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10615,"""text"": ""checkpoint_dir: checkpoints/apm_attr_only_planjson_stage1_roty_0228_0317_0327_v1""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10622,"""text"": ""eval_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_0228_0317_0327_v1/test""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10642,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_stage1_roty_orient0327_v1.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10658,"""text"": ""train_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1/train""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10665,"""text"": ""val_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1/val""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10672,"""text"": ""test_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1/test""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10679,"""text"": ""project: chinese_attr_pred_planjson_apm_stage1_roty_orient0327_v1""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10686,"""text"": ""name: chinese_attr_only_planjson_apm_stage1_roty_orient0327_v1""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10770,"""text"": ""checkpoint_dir: checkpoints/apm_attr_only_planjson_stage1_roty_orient0327_v1""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10777,"""text"": ""eval_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1/test""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10797,"""file"": ""configs/apm/chinese_attr_only_planjson_apm_stage1_roty_orient0327_v1_continue400.yaml"",",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10813,"""text"": ""train_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1/train""",classified_not_authoritative_or_generated_history
reports/reference_3dfront_pipeline_mining_report.json,10820,"""text"": ""val_data_dir: ./datasets/chinese_w_arch_3dfront_planjson_apm_stage1_roty_orient0327_v1/val""",classified_not_authoritative_or_generated_history
