action,sample_id,target_category,source_category,mask_area_bin,mask_area_px,edit_success,masked_pixel_accuracy,object_count_f1,allowed_label_violation_count
REPLACE,replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite,double_bed,double_bed,large,18180,,,,
REPLACE,replace_006_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20,double_bed,double_bed,large,18180,,,,
REPLACE,replace_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_replace-0_6-opposite,double_bed,double_bed,large,21420,,,,
REPLACE,replace_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_replace-0_6,double_bed,double_bed,large,21420,,,,
REPLACE,replace_009_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_replace-5_20-opposite,tv_stand,tv_stand,medium,5092,,,,
REPLACE,replace_010_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_replace-5_20,tv_stand,tv_stand,medium,5092,,,,
REPLACE,replace_011_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_replace-0_20-opposite,double_bed,double_bed,large,28600,,,,
REPLACE,replace_012_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_replace-0_20,double_bed,double_bed,large,28600,,,,
REPLACE,replace_013_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_replace-3_10-opposite,pendant_lamp,pendant_lamp,medium,4260,,,,
REPLACE,replace_014_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_replace-3_10,pendant_lamp,pendant_lamp,medium,4260,,,,
REPLACE,replace_015_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_replace-1_6-opposite,armchair,armchair,medium,4485,,,,
REPLACE,replace_016_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_replace-1_6,armchair,armchair,medium,4485,,,,
REPLACE,replace_017_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_replace-4_18-opposite,wardrobe,wardrobe,medium,7173,,,,
REPLACE,replace_018_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_replace-4_18,wardrobe,wardrobe,medium,7173,,,,
REPLACE,replace_019_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_replace-0_20-opposite,double_bed,double_bed,large,19154,,,,
REPLACE,replace_020_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_replace-0_20,double_bed,double_bed,large,19154,,,,
TRANSLATE,translate_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-0_6-opposite,dressing_table,dressing_table,medium,4897,False,0.0,0.5,4897
TRANSLATE,translate_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-0_6,dressing_table,dressing_table,medium,4897,False,0.0,0.6666666666666666,4897
TRANSLATE,translate_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-2_14-opposite,stool,stool,medium,3990,False,0.0,1.0,3990
TRANSLATE,translate_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-2_14,stool,stool,medium,3990,,,,
TRANSLATE,translate_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_pose-1-3_2-opposite,nightstand,nightstand,medium,3572,,,,
TRANSLATE,translate_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_pose-1-3_2,nightstand,nightstand,medium,3572,,,,
TRANSLATE,translate_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_pose-1-4_16-opposite,nightstand,nightstand,medium,3619,,,,
TRANSLATE,translate_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_pose-1-4_16,nightstand,nightstand,medium,3619,,,,
TRANSLATE,translate_009_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_pose-1-5_22-opposite,tv_stand,tv_stand,medium,7400,,,,
TRANSLATE,translate_010_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_pose-1-5_22,tv_stand,tv_stand,medium,7400,,,,
TRANSLATE,translate_011_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_pose-1-0_22-opposite,double_bed,double_bed,large,38896,,,,
TRANSLATE,translate_012_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_pose-1-0_22,double_bed,double_bed,large,38896,,,,
TRANSLATE,translate_013_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_pose-1-1_2-opposite,nightstand,nightstand,medium,3444,,,,
TRANSLATE,translate_014_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_pose-1-1_2,nightstand,nightstand,medium,3444,,,,
TRANSLATE,translate_015_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_pose-1-2_6-opposite,nightstand,nightstand,medium,3444,,,,
TRANSLATE,translate_016_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_pose-1-2_6,nightstand,nightstand,medium,3444,,,,
TRANSLATE,translate_017_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_pose-1-1_8-opposite,armchair,armchair,large,8473,,,,
TRANSLATE,translate_018_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_pose-1-1_8,armchair,armchair,large,8473,,,,
TRANSLATE,translate_019_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_pose-1-5_12-opposite,nightstand,nightstand,medium,3648,,,,
TRANSLATE,translate_020_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_pose-1-5_12,nightstand,nightstand,medium,3648,,,,
ADD,add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0,dressing_table,UNKNOWN,medium,2891,False,0.0,0.5714285714285714,2016
ADD,add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8,stool,UNKNOWN,small,1995,False,0.0,0.6666666666666666,1968
ADD,add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18,double_bed,UNKNOWN,large,18180,False,0.0,0.5,18180
ADD,add_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-0_4,double_bed,UNKNOWN,large,21420,,,,
ADD,add_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-2_8,wardrobe,UNKNOWN,medium,7007,,,,
ADD,add_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-3_0,nightstand,UNKNOWN,small,2021,,,,
ADD,add_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-4_14,nightstand,UNKNOWN,medium,2068,,,,
ADD,add_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-5_18,tv_stand,UNKNOWN,medium,4000,,,,
ADD,add_009_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-0_18,double_bed,UNKNOWN,large,28600,,,,
ADD,add_010_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-1_0,nightstand,UNKNOWN,medium,2058,,,,
ADD,add_011_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-2_4,nightstand,UNKNOWN,medium,2058,,,,
ADD,add_012_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-3_8,pendant_lamp,UNKNOWN,medium,4260,,,,
ADD,add_013_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-1_4,armchair,UNKNOWN,medium,4485,,,,
ADD,add_014_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-2_0,nightstand,UNKNOWN,small,2016,,,,
ADD,add_015_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-3_10,table,UNKNOWN,medium,2208,,,,
ADD,add_016_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-4_16,wardrobe,UNKNOWN,medium,6435,,,,
ADD,add_017_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-0_18,double_bed,UNKNOWN,large,19154,,,,
ADD,add_018_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-1_0,children_cabinet,UNKNOWN,medium,5635,,,,
ADD,add_019_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-5_8,nightstand,UNKNOWN,small,1968,,,,
ADD,add_020_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-6_14,nightstand,UNKNOWN,small,1968,,,,
