raw_category,intermediate_category,generic_category,semantic_index,RGB color,room type applicability,include_arch behavior,source file,source line
,,train,SecondBedroom-270406,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,16
,,train,Bedroom-10566,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,17
,,train,MasterBedroom-7226,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,18
,,train,SecondBedroom-14072,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,19
,,train,MasterBedroom-6557,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,20
,,train,SecondBedroom-12582,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,21
,,train,Bedroom-12119,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,22
,,train,MasterBedroom-50333,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,23
,,train,Bedroom-65,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,24
,,train,Bedroom-7686,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,25
,,train,Bedroom-10573,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,26
,,train,Bedroom-11063,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,27
,,train,MasterBedroom-1084,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,28
,,train,SecondBedroom-33144,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,29
,,train,SecondBedroom-31401,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,30
,,train,SecondBedroom-6135,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,31
,,train,MasterBedroom-1352,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,32
,,train,MasterBedroom-32473,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,33
,,train,MasterBedroom-14272,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,34
,,train,MasterBedroom-87179,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,35
,,train,MasterBedroom-23690,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,36
,,train,Bedroom-8384,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,37
,,train,Bedroom-6314,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,38
,,train,Bedroom-21210,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,39
,,train,Bedroom-17674,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,40
,,train,SecondBedroom-72989,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,41
,,train,MasterBedroom-107104,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,42
,,train,MasterBedroom-59528,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,43
,,train,MasterBedroom-13121,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,44
,,train,SecondBedroom-11179,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,45
,,train,MasterBedroom-4855,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,46
,,train,Bedroom-1778,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,47
,,train,SecondBedroom-16870,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,48
,,train,MasterBedroom-7015,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,49
,,train,MasterBedroom-114550,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,50
,,train,Bedroom-466,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,51
,,train,Bedroom-10848,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,52
,,train,Bedroom-2297,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,53
,,train,MasterBedroom-62947,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,54
,,train,SecondBedroom-1083,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,55
,,train,MasterBedroom-44012,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,56
,,train,Bedroom-51424,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,57
,,train,MasterBedroom-9694,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,58
,,train,Bedroom-17608,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,59
,,train,SecondBedroom-22809,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,60
,,train,Bedroom-4004,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,61
,,train,SecondBedroom-21667,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,62
,,train,SecondBedroom-14942,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,63
,,train,Bedroom-9293,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,64
,,train,Bedroom-11505,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,65
,,train,MasterBedroom-9825,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,66
,,train,Bedroom-296,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,67
,,train,MasterBedroom-2723,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,68
,,train,MasterBedroom-27045,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,69
,,train,MasterBedroom-18854,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,70
,,train,SecondBedroom-14804,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,71
,,train,MasterBedroom-7936,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,72
,,train,SecondBedroom-37984,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,73
,,train,SecondBedroom-1116,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,74
,,train,Bedroom-3082,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,75
,,train,SecondBedroom-2302,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,76
,,train,SecondBedroom-3877,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,77
,,train,SecondBedroom-348,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,78
,,train,MasterBedroom-9227,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,79
,,train,SecondBedroom-12458,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,80
,,train,SecondBedroom-4397,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,81
,,train,MasterBedroom-6844,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,82
,,train,Bedroom-7004,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,83
,,train,Bedroom-7142,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,84
,,train,MasterBedroom-21751,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,85
,,train,Bedroom-10024,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,86
,,train,Bedroom-28089,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,87
,,train,SecondBedroom-27246,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,88
,,train,MasterBedroom-30887,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,89
,,train,MasterBedroom-13083,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,90
,,train,MasterBedroom-1247,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,91
,,train,Bedroom-35458,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,92
,,train,MasterBedroom-8921,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,93
,,train,Bedroom-44362,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,94
,,train,Bedroom-19737,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,95
,,train,Bedroom-16786,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,96
,,train,Bedroom-14292,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,97
,,train,MasterBedroom-22837,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,98
,,train,MasterBedroom-30932,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,99
,,train,Bedroom-11397,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,100
,,train,MasterBedroom-32718,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,101
,,train,MasterBedroom-71933,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,102
,,train,MasterBedroom-29958,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,103
,,train,Bedroom-899,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,104
,,train,SecondBedroom-7637,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,105
,,train,MasterBedroom-15131,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,106
,,train,SecondBedroom-3942,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,107
,,train,Bedroom-1509,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,108
,,train,Bedroom-28170,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,109
,,train,SecondBedroom-10109,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,110
,,train,SecondBedroom-58732,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,111
,,train,MasterBedroom-3280,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,112
,,train,MasterBedroom-60172,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,113
,,train,MasterBedroom-2263,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,114
,,train,MasterBedroom-18875,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,115
,,train,SecondBedroom-31102,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,116
,,train,SecondBedroom-1807,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,117
,,train,Bedroom-22018,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,118
,,train,SecondBedroom-7807,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,119
,,train,Bedroom-3742,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,120
,,train,SecondBedroom-49688,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,121
,,train,MasterBedroom-28940,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,122
,,train,Bedroom-856,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,123
,,train,MasterBedroom-42336,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,124
,,train,SecondBedroom-6150,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,125
,,train,Bedroom-755,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,126
,,train,MasterBedroom-13978,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,127
,,train,MasterBedroom-11658,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,128
,,train,MasterBedroom-542,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,129
,,train,SecondBedroom-54537,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,130
,,train,SecondBedroom-27838,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,131
,,train,MasterBedroom-9433,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,132
,,train,MasterBedroom-3530,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,133
,,train,Bedroom-71183,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,134
,,train,SecondBedroom-1082,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,135
,,train,MasterBedroom-23204,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,136
,,train,MasterBedroom-26202,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,137
,,train,MasterBedroom-78759,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,138
,,train,MasterBedroom-26744,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,139
,,train,MasterBedroom-4026,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,140
,,train,Bedroom-106236,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,141
,,train,MasterBedroom-32504,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,142
,,train,Bedroom-22479,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,143
,,train,MasterBedroom-16874,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,144
,,train,Bedroom-358,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,145
,,train,MasterBedroom-21792,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,146
,,train,SecondBedroom-89516,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,147
,,train,SecondBedroom-37647,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,148
,,train,SecondBedroom-8303,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,149
,,train,MasterBedroom-2074,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,150
,,train,SecondBedroom-1494,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,151
,,train,Bedroom-21704,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,152
,,train,SecondBedroom-30549,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,153
,,train,MasterBedroom-226184,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,154
,,train,MasterBedroom-6488,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,155
,,train,Bedroom-128792,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,156
,,train,MasterBedroom-365,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,157
,,train,SecondBedroom-23031,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,158
,,train,MasterBedroom-179552,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,159
,,train,Bedroom-8441,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,160
,,train,MasterBedroom-8852,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,161
,,train,MasterBedroom-19679,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,162
,,train,MasterBedroom-21432,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,163
,,train,SecondBedroom-44753,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,164
,,train,MasterBedroom-2243,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,165
,,train,MasterBedroom-7207,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,166
,,train,MasterBedroom-9881,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,167
,,train,MasterBedroom-675641,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,168
,,train,SecondBedroom-5586,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,169
,,train,SecondBedroom-702,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,170
,,train,MasterBedroom-8297,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,171
,,train,MasterBedroom-20170,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,172
,,train,Bedroom-12991,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,173
,,train,Bedroom-933,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,174
,,train,Bedroom-28863,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,175
,,train,MasterBedroom-32805,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,176
,,train,MasterBedroom-8601,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,177
,,train,Bedroom-8852,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,178
,,train,Bedroom-124,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,179
,,train,SecondBedroom-18088,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,180
,,train,SecondBedroom-8015,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,181
,,train,MasterBedroom-222161,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,182
,,train,SecondBedroom-71829,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,183
,,train,Bedroom-10043,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,184
,,train,Bedroom-102092,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,185
,,train,Bedroom-1662,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,186
,,train,MasterBedroom-4027,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,187
,,train,SecondBedroom-29604,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,188
,,train,SecondBedroom-58192,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,189
,,train,SecondBedroom-44692,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,190
,,train,MasterBedroom-2630,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,191
,,train,Bedroom-3456,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,192
,,train,Bedroom-12093,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,193
,,train,MasterBedroom-1599,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,194
,,train,Bedroom-4788,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,195
,,train,MasterBedroom-13597,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,196
,,train,MasterBedroom-892,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,197
,,train,MasterBedroom-47891,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,198
,,train,SecondBedroom-20485,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,199
,,train,Bedroom-14731,,bedroom,unknown,preprocess/metadata/bedroom_threed_front_splits.csv,200
,,void,0,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,floor,1,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,kids_bed,2,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,single_bed,3,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,double_bed,4,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,corner_side_table,5,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,round_end_table,6,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,coffee_table,7,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,console_table,8,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,tv_stand,9,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,desk,10,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,dressing_table,11,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,table,12,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,dining_table,13,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,stool,14,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,dressing_chair,15,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,dining_chair,16,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,chinese_chair,17,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,armchair,18,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,chair,19,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,lounge_chair,20,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,loveseat_sofa,21,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,lazy_sofa,22,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,sofa,23,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,multi_seat_sofa,24,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,chaise_longue_sofa,25,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,l_shaped_sofa,26,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,nightstand,27,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,shelf,28,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,bookshelf,29,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,children_cabinet,30,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,wine_cabinet,31,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,cabinet,32,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,wardrobe,33,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,pendant_lamp,34,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,ceiling_lamp,35,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,door,36,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,window,37,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,bathtub,38,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,toilet,39,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,wash_basin,40,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,shower,41,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,refrigerator,42,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,cooking_appliance,43,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,piano,44,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,washing_machine,45,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,air_conditioner,46,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,display_screen,47,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,kitchen_cabinet,48,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,bathroom_cabinet,49,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,fitness_equipment,50,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,shoe_cabinet,51,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,tatami,52,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,kitchen_island,53,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
,,cove_ceiling,54,,unknown,unknown,preprocess/metadata/chinese_idx_to_generic_label.json,
